ds,yhat,yhat_lower,yhat_upper,row_type,horizon_day
2023-12-01,73.62510604961477,71.51600412974987,75.78326243158565,fitted,0
2023-12-04,95.90540344060838,93.77997357279031,97.9542503976451,fitted,0
2023-12-05,88.96114806325505,86.66288783950044,91.09694582167397,fitted,0
2023-12-06,79.09516191753183,77.039515125494,81.0434210242647,fitted,0
2023-12-07,71.77837895637755,69.76022661435483,74.01412037625005,fitted,0
2023-12-08,74.43440825274809,72.33420490169985,76.55068436174874,fitted,0
2023-12-11,96.51565563719726,94.2406110198326,98.51772315254041,fitted,0
2023-12-12,88.87123537524768,86.89989687007879,90.89762028072622,fitted,0
2023-12-13,77.33013001351007,75.34430500277608,79.50273110162985,fitted,0
2023-12-14,69.10759186543818,67.08905408086994,71.15151686892693,fitted,0
2023-12-15,72.20959183988627,70.00779922944396,74.25967352321048,fitted,0
2023-12-18,94.20315719161688,91.9220982347762,96.28827304252776,fitted,0
2023-12-19,87.80969688719024,85.70506734241948,89.9561685520838,fitted,0
2023-12-20,78.187176706698,76.02491933634711,80.31533044412413,fitted,0
2023-12-21,70.5699622163971,68.56986785181535,72.77593809318172,fitted,0
2023-12-22,72.45418572594573,70.42541829025858,74.42801187108209,fitted,0
2023-12-25,97.35987656057343,95.19673185419217,99.47846820545993,fitted,0
2023-12-26,88.77914482980911,86.6875919517381,90.85901140107313,fitted,0
2023-12-27,79.2224472012712,77.06968151257233,81.37251074206452,fitted,0
2023-12-28,70.19717729717063,68.16613406185314,72.29900731028019,fitted,0
2023-12-29,72.25510104653071,70.30388204897166,74.37271956836526,fitted,0
2024-01-01,90.83748109064278,88.76154733916935,92.91025257237551,fitted,0
2024-01-02,88.7295547795281,86.48286519257347,90.9195195470445,fitted,0
2024-01-03,78.6613126176516,76.55953645905109,80.84916889367953,fitted,0
2024-01-04,70.95436069444582,68.80084829092573,73.04709743713087,fitted,0
2024-01-05,74.09886819531522,72.00567719397829,76.18508687263981,fitted,0
2024-01-08,96.4966686955718,94.3798059416095,98.59261393641158,fitted,0
2024-01-09,90.15490479630824,88.10045986467794,92.32128520610365,fitted,0
2024-01-10,80.60714946624677,78.54739876076415,82.80400422412754,fitted,0
2024-01-11,73.00639987673915,70.90674396281656,75.29787272715033,fitted,0
2024-01-12,74.82959873033313,72.6819999715662,76.87462848312582,fitted,0
2024-01-15,96.23762227103384,94.03112638226506,98.26850227628728,fitted,0
2024-01-16,89.88554297684773,87.75431698471448,91.81851108728395,fitted,0
2024-01-17,79.76196924945546,77.62181767748942,81.7530047711184,fitted,0
2024-01-18,72.54047128231437,70.39724348640492,74.59304443684641,fitted,0
2024-01-19,76.07041708724344,73.96899660210813,78.28330521440645,fitted,0
2024-01-22,96.52246609513374,94.4190687308938,98.7069393828492,fitted,0
2024-01-23,88.98380514737161,87.04727766331709,90.97024610007485,fitted,0
2024-01-24,78.93062427032714,76.86624627994867,80.96537457751882,fitted,0
2024-01-25,72.24789127146803,70.03009759478866,74.38291360665008,fitted,0
2024-01-26,75.9687495868138,73.88872473717227,77.96327049292638,fitted,0
2024-01-29,96.39311229701865,94.52644775581886,98.46878549919123,fitted,0
2024-01-30,89.47550656464945,87.23750758768234,91.55233110915837,fitted,0
2024-01-31,80.13561528401391,77.94458384719991,82.43981435713245,fitted,0
2024-02-01,73.58372375060969,71.35076693620609,75.59815120556976,fitted,0
2024-02-02,76.62159757251689,74.7090860675471,78.76683679576246,fitted,0
2024-02-05,98.2183479881301,96.00994781850795,100.26944544149727,fitted,0
2024-02-06,91.74494021581849,89.59627527541416,93.86652530976892,fitted,0
2024-02-07,81.53650770210848,79.34891823924642,83.58345578570326,fitted,0
2024-02-08,74.15112415792956,72.03988958976748,76.18647641439227,fitted,0
2024-02-09,77.5350811910508,75.33089075331816,79.67349108499755,fitted,0
2024-02-12,97.55360866792208,95.59630367029624,99.76301922558844,fitted,0
2024-02-13,90.2179130429649,88.20126513801677,92.16597618549648,fitted,0
2024-02-14,80.47444861238606,78.27339441378358,82.43067254227202,fitted,0
2024-02-15,73.56898594464876,71.40052715141412,75.66183621550185,fitted,0
2024-02-16,76.5423451637832,74.40536218207527,78.54430350246881,fitted,0
2024-02-19,99.30044659564165,97.2585765577873,101.40778096415086,fitted,0
2024-02-20,92.45193871136446,90.47168218414784,94.44930815475041,fitted,0
2024-02-21,81.35774114800654,79.2319756350198,83.40156135292635,fitted,0
2024-02-22,72.78914585963878,70.81534901932902,74.81073481275254,fitted,0
2024-02-23,75.2400967659712,73.1209639622099,77.60992086090756,fitted,0
2024-02-26,98.84581746480903,96.57981420919126,101.15210387449062,fitted,0
2024-02-27,91.83104991526417,89.7656559738283,93.9434432405972,fitted,0
2024-02-28,80.78577961420982,78.70474126954257,82.81813741295285,fitted,0
2024-02-29,72.66194070289906,70.56115592206407,74.60394467029316,fitted,0
2024-03-01,75.86974768892173,73.90257409150954,77.9625254535624,fitted,0
2024-03-04,98.95090565899945,97.01744088501259,100.82152219597289,fitted,0
2024-03-05,91.87220127742536,89.70290536666725,93.92900294524121,fitted,0
2024-03-06,81.93224210487062,79.84516975026007,83.89831903276706,fitted,0
2024-03-07,74.89862304040977,72.6133698274599,77.087842940554,fitted,0
2024-03-08,77.88437591721294,75.73830424228349,79.8481099604438,fitted,0
2024-03-11,100.54096782888791,98.60581866357687,102.7673069970273,fitted,0
2024-03-12,93.66511196456455,91.46208613476061,95.66892940102903,fitted,0
2024-03-13,82.50157367306662,80.40055768698053,84.65014500673772,fitted,0
2024-03-14,74.08764497385863,72.19090046522295,76.04228101528423,fitted,0
2024-03-15,77.00246542668576,74.86854882625771,79.20020368504446,fitted,0
2024-03-18,101.44477376592661,99.31058834139542,103.51993432610736,fitted,0
2024-03-19,91.53447782315622,89.34409015206407,93.67569015244455,fitted,0
2024-03-20,84.02006352028343,82.03253068313388,86.04309285976517,fitted,0
2024-03-21,76.9520809142815,74.97542329699223,79.02624514397121,fitted,0
2024-03-22,79.31242886460943,77.38135946335925,81.31628831266946,fitted,0
2024-03-25,95.59429386159998,93.42358973815017,97.81081811186954,fitted,0
2024-03-26,95.41627472127507,93.2704634783528,97.35615189895408,fitted,0
2024-03-27,83.87797516151808,81.81935833278172,86.03304769023414,fitted,0
2024-03-28,76.5724888714531,74.39794966926742,78.57692465244835,fitted,0
2024-03-29,78.74477760380161,76.72145668389508,81.04618359941405,fitted,0
2024-04-01,99.95964886899648,97.76055383838313,102.15955638314898,fitted,0
2024-04-02,94.03807888795752,91.93669034402186,96.21267382627885,fitted,0
2024-04-03,83.98422407562428,81.87453189908173,86.07976739801346,fitted,0
2024-04-04,76.04517994821285,73.76939587689148,78.08162467969575,fitted,0
2024-04-05,78.73468627091762,76.64742749484866,80.83430046028839,fitted,0
2024-04-08,100.88058324481987,98.68352038928974,102.91525841157248,fitted,0
2024-04-09,94.19579344917621,91.99672671611377,96.27829766317736,fitted,0
2024-04-10,84.57461806553137,82.59387272449212,86.64833556181438,fitted,0
2024-04-11,77.37958669880284,75.27774873089062,79.51335525649145,fitted,0
2024-04-12,79.56766288092207,77.46914578076304,81.6647506641699,fitted,0
2024-04-15,100.07409494818874,98.06003788914315,102.15011866116541,fitted,0
2024-04-16,93.98959123112203,91.88684536282115,96.06796872589965,fitted,0
2024-04-17,84.07104087355367,81.89832764236354,86.12622297740104,fitted,0
2024-04-18,76.72778619838502,74.49571021582449,78.76651072755634,fitted,0
2024-04-19,80.17662981762739,77.96424314587821,82.37305818419561,fitted,0
2024-04-22,101.79976056794314,99.61615255122466,103.82527080184158,fitted,0
2024-04-23,94.0666554746222,91.93126558483452,96.0676506565861,fitted,0
2024-04-24,83.62026835034416,81.44940434793754,85.66448255297496,fitted,0
2024-04-25,76.69890046011076,74.41888397944493,78.73370006537067,fitted,0
2024-04-26,80.52612746830415,78.31627289841892,82.59639190483615,fitted,0
2024-04-29,101.81545846398046,99.82391986971929,103.97063558030703,fitted,0
2024-04-30,94.44929486697993,92.35714624949674,96.4543555015228,fitted,0
2024-05-01,84.68350296545529,82.54214217021143,86.79487021270337,forecast,0
2024-05-02,78.22340788940672,76.08995605617523,80.1514205446625,forecast,1
2024-05-03,81.47500599119157,79.41690518362189,83.65255245018595,forecast,2
2024-05-06,102.97176010370544,100.84905171657407,105.05971420559828,forecast,5
2024-05-07,96.7255544547398,94.56113690728283,98.7261846753165,forecast,6
2024-05-08,87.03019432003933,84.85873285346506,89.04529174241503,forecast,7
2024-05-09,79.6534616465967,77.45523460563388,81.85001097972706,forecast,8
2024-05-10,83.06108882254686,80.95922295236863,85.19787277677011,forecast,9
2024-05-13,104.87718987456273,102.830854665915,106.93700431173338,forecast,12
2024-05-14,97.48857142226004,95.50622728680246,99.54137577079292,forecast,13
2024-05-15,87.74683925940975,85.59820120288883,89.93691601035846,forecast,14
2024-05-16,81.3661133455859,79.21590365435767,83.55339063645874,forecast,15
2024-05-17,85.10894566756141,83.002610534673,87.3134404382033,forecast,16
2024-05-20,109.34959533495076,107.32833129119913,111.45561292302808,forecast,19
2024-05-21,103.54099241115281,101.32686372779705,105.48725651567385,forecast,20
2024-05-22,93.44892605913874,91.37162396759722,95.52641037930145,forecast,21
2024-05-23,85.43778474422673,83.47867124376525,87.57429546332705,forecast,22
2024-05-24,88.06836065855266,86.01600754978057,90.2129857817749,forecast,23
2024-05-27,112.95213133709447,110.98444792433601,114.95354185152036,forecast,26
2024-05-28,106.81240172217731,104.84489385926314,108.94937156625674,forecast,27
2024-05-29,96.3795700489108,94.25534244488455,98.51741768545334,forecast,28
2024-05-30,88.29703907858777,86.16939823616586,90.4174770590705,forecast,29
2024-05-31,91.20342804063343,89.29482174939133,93.30047245588939,forecast,30
2024-06-03,114.99374857440331,112.86399805794983,116.99385949921901,forecast,33
2024-06-04,107.78530722844937,105.61842918003167,109.9384960783867,forecast,34
2024-06-05,97.41186543805881,95.45491646528352,99.504869685109,forecast,35
2024-06-06,90.1288258113873,87.92219102346394,92.27563909207862,forecast,36
2024-06-07,93.03854546541147,90.9788231532623,95.16812772221114,forecast,37
2024-06-10,114.34727902645685,112.26897170885175,116.33559212156489,forecast,40
2024-06-11,107.50019791437023,105.27634142905053,109.51430306502441,forecast,41
2024-06-12,96.2889023214997,94.1677333606161,98.38957005364001,forecast,42
2024-06-13,87.23384775503762,85.1558312621203,89.20203306779413,forecast,43
2024-06-14,89.18215045252482,86.97731797917106,91.16519072328893,forecast,44
2024-06-17,111.11405947213595,109.1331890970414,113.05648538939337,forecast,47
2024-06-18,104.16654632992224,102.09479077000934,106.24722299833381,forecast,48
2024-06-19,94.32998259981517,92.1389146092268,96.57877249785457,forecast,49
2024-06-20,87.34203626940793,85.24580907063893,89.34652258163402,forecast,50
2024-06-21,90.06375193907888,88.08574827135273,92.15758056507782,forecast,51
2024-06-24,109.21987020203107,107.17535850938098,111.37448296844481,forecast,54
2024-06-25,103.29430748367461,101.12617325556815,105.40115523673155,forecast,55
2024-06-26,94.21015442789245,92.08165201583229,96.23213068741596,forecast,56
2024-06-27,87.51634493590736,85.4348124442843,89.62366253536956,forecast,57
2024-06-28,90.35573259970515,88.23797121635052,92.51990786299892,forecast,58
2024-07-01,111.60254838640635,109.52335007762795,113.71380251657887,forecast,61
2024-07-02,106.07889039383113,104.14592517534184,108.25021651310011,forecast,62
2024-07-03,96.75899799836796,94.70488561374962,98.88613210514217,forecast,63
2024-07-04,89.28710239536174,87.29459185906698,91.32175240674061,forecast,64
2024-07-05,92.00115380182817,90.01820315606572,94.07327413404174,forecast,65
2024-07-08,114.74131350027727,112.67952030086794,116.7894696835791,forecast,68
2024-07-09,107.96817082066408,105.83235237188187,110.10247764381457,forecast,69
2024-07-10,98.17745612081443,95.9264930085495,100.27665247108824,forecast,70
2024-07-11,91.19865008036528,88.98227441556124,93.37267668854092,forecast,71
2024-07-12,93.81241989701674,91.72976378646253,95.87126137956125,forecast,72
2024-07-15,112.98616374972788,111.02337967188538,115.02069060748173,forecast,75
2024-07-16,106.67587362855245,104.55889943400918,108.62829277647121,forecast,76
2024-07-17,96.71047332336968,94.72132982529567,98.88489742368091,forecast,77
2024-07-18,89.01400188240193,86.82139480561179,91.11648374094602,forecast,78
2024-07-19,91.89131911085713,89.86072509536889,93.87442309981805,forecast,79
2024-07-22,113.41496173956884,111.24643397774229,115.46517264660228,forecast,82
2024-07-23,105.35183165070849,103.20932597852864,107.54130646093459,forecast,83
2024-07-24,94.24368498427641,92.04971211851273,96.29219207172643,forecast,84
2024-07-25,86.69344008876752,84.65825407987596,88.77870358737304,forecast,85
2024-07-26,90.21547325438273,88.36746434587853,92.36111169152612,forecast,86
2024-07-29,112.14696286613291,110.00668872235475,114.3034210397545,forecast,89
2024-07-30,104.50178556962571,102.30592094405466,106.57713354281205,forecast,90
2024-07-31,94.21942072993977,92.02394436720432,96.1946486534592,forecast,91
